;date;1. open;2. high;3. low;4. close;5. volume
344;2013-09-13;183.68;193.1;183.31;192.17;18194900.0
345;2013-09-06;183.63;185.0;182.31;183.03;11856200.0
346;2013-08-30;185.27;187.0;181.1;182.27;15052200.0
347;2013-08-23;185.3;186.57;183.1685;185.42;14564700.0
348;2013-08-16;186.97;189.99;185.34;185.34;16580500.0
349;2013-08-09;195.16;195.88;186.79;187.82;20128300.0
350;2013-08-02;196.83;197.83;193.2215;195.16;15338600.0
351;2013-07-26;193.4;197.83;193.2804;197.35;14719100.0
352;2013-07-19;192.42;200.94;191.68;193.54;31679400.0
353;2013-07-12;195.6;195.78;190.78;192.07;20715900.0
354;2013-07-05;192.15;195.16;190.26;194.93;12378100.0
355;2013-06-28;193.99;196.9;188.41;191.11;25092600.0
356;2013-06-21;203.44;206.09;193.5401;195.46;22773400.0
357;2013-06-14;206.97;206.98;200.34;202.2;14580500.0
358;2013-06-07;208.25;210.05;201.47;206.35;17768500.0
359;2013-05-31;207.44;211.98;206.04;208.02;16799600.0
360;2013-05-24;208.02;210.15;204.42;205.72;20259100.0
361;2013-05-17;204.18;209.5;202.04;208.44;21587300.0
362;2013-05-10;203.79;205.0;201.52;204.47;18700700.0
363;2013-05-03;194.78;205.319;194.65;204.51;26809200.0
364;2013-04-26;191.15;195.17;187.68;194.31;27976600.0
365;2013-04-19;210.44;212.0;189.76;190.0;35696400.0
366;2013-04-12;209.07;213.09;207.33;211.38;15273700.0
367;2013-04-05;212.8;214.89;206.34;209.41;16247600.0
368;2013-03-28;212.54;213.44;209.735;213.3;12516100.0
369;2013-03-22;212.9;215.82;210.11;212.08;18085500.0
370;2013-03-15;210.04;215.9;209.04;214.92;23433000.0
371;2013-03-08;202.59;210.74;202.55;210.38;18680900.0
372;2013-03-01;201.67;203.123;197.51;202.91;19419000.0
373;2013-02-22;200.6;201.89;198.11;201.09;13744500.0
374;2013-02-15;200.98;201.95;199.02;200.98;14498300.0
375;2013-02-08;204.19;205.02;198.68;201.68;16419900.0
376;2013-02-01;204.85;206.22;202.96;205.18;15901300.0
377;2013-01-25;194.36;208.58;194.01;204.97;27508900.0
378;2013-01-18;192.82;195.0;190.39;194.47;19748400.0
379;2013-01-11;193.4;195.0;191.28;194.45;16589700.0
380;2013-01-04;189.23;196.35;188.84;193.99;15943900.0
381;2012-12-28;193.05;193.83;189.83;189.83;11911900.0
382;2012-12-21;191.76;196.45;191.57;193.42;24598600.0
383;2012-12-14;192.17;194.8;191.26;191.76;19274500.0
384;2012-12-07;190.76;192.2;186.94;191.95;18850300.0
385;2012-11-30;192.45;193.37;189.27;190.07;21119100.0
386;2012-11-23;188.62;193.49;188.25;193.49;15826300.0
387;2012-11-16;190.03;190.88;184.78;186.94;18951000.0
388;2012-11-09;192.36;196.75;188.88;189.64;17977200.0
389;2012-11-02;194.8;198.0;193.29;193.43;14071200.0
390;2012-10-26;193.71;194.68;190.56;193.27;19824000.0
391;2012-10-19;208.88;211.0;193.18;193.36;37283100.0
392;2012-10-12;210.02;210.74;205.05;207.8;15209500.0
393;2012-10-05;208.01;211.79;207.94;210.59;17786100.0
394;2012-09-28;205.02;208.32;203.9;207.45;17962400.0
395;2012-09-21;205.55;207.99;205.3;205.98;24867400.0
396;2012-09-14;199.39;207.65;198.73;206.81;19339300.0
397;2012-09-07;196.61;199.5;193.25;199.5;15172300.0
398;2012-08-31;197.96;198.3;193.18;194.85;13113600.0
399;2012-08-24;200.69;201.13;194.2;197.77;14140300.0
400;2012-08-17;198.88;202.0;197.72;201.22;12373700.0
401;2012-08-10;198.76;200.88;197.24;199.29;12376100.0
402;2012-08-03;196.32;198.95;193.02;198.52;14944000.0
403;2012-07-27;189.78;197.41;188.2;196.39;18795600.0
404;2012-07-20;185.58;196.85;183.2;192.45;31507600.0
405;2012-07-13;190.76;191.14;181.85;186.01;22998800.0
406;2012-07-06;196.36;197.2;189.74;191.41;11920500.0
407;2012-06-29;192.48;195.81;188.9;195.58;18637100.0
408;2012-06-22;197.57;199.99;193.19;193.7;23194300.0
409;2012-06-15;196.6;199.27;192.14;199.1;19518700.0
410;2012-06-08;188.34;195.8299;187.0;195.14;18002600.0
411;2012-06-01;195.22;198.08;188.6;189.08;21714900.0
412;2012-05-25;195.98;198.26;193.2;194.3;17970000.0
413;2012-05-18;199.92;201.4679;195.16;195.88;22381000.0
414;2012-05-11;203.96;204.77;199.06;201.17;17219400.0
415;2012-05-04;206.71;208.929;204.4;204.99;14699600.0
416;2012-04-27;197.89;208.17;196.791;206.81;20048100.0
417;2012-04-20;204.74;207.64;197.521;199.6;30566700.0
418;2012-04-13;204.4;206.17;202.17;202.8;17522600.0
419;2012-04-05;208.96;210.69;204.46;205.47;15692400.0
420;2012-03-30;206.45;209.12;206.02;208.65;16007300.0
